Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Victor Rockenbach,@VictorRock85,2022-09-26T15:47:44.000Z,"Hoje na 
@sintoniacampea
 tem 
@EURO2024DE
 
Clássico do futebol mundial na Sintonia Esportiva.
Hoje estou nas reportagens ",,,1
Minuto_do_futebol,@Minutodofutebo2,2022-09-26T20:02:29.000Z,"Grécia  
 Levadiakos FC anunciou a contratação do atacante Jonas Toró, por empréstimo do Panathinaikos. 
#futebol",,,2
nossa senhora kim taeyeon,@soniashide,2022-09-25T20:03:19.000Z,vocês achando que essa mulher vai voltar a cantar e no fim das contas é um lançamento da linha fenty de bolas de futebol americano,2,,5
Hercílio Luz Futebol Clube,@HercilioLuz1918,2022-09-26T18:56:41.000Z,Abrindo a semana! ,,,2
O Melhor Do Futebol,@Futmundo0,2022-09-26T22:57:12.000Z,"Toma meu dinheirinho, FIFA.",,,
Corinthians Futebol Feminino,@SCCPFutFeminino,2022-09-27T00:59:13.000Z,"Craques da camisa 

Quero ver carregar essa foto!

 Vinícius Carrilho / Ag. Corinthians

#VaiCorinthians",83,546,4.676
Viciados por Futebol,@ViciadopFutebol,2022-09-26T21:15:04.000Z,Essa chuteira branca é linda,,1,77
JapanNews for PT,@JapanNews_PT,2022-09-27T15:33:03.000Z,"Principais notícias: Na tarde do dia 27, dois trabalhadores da construção civil que estavam removendo terra e areia que desabaram devido às fortes chuvas causadas pelo tufão nº. Uma pessoa ficou gravemente ferida.

 A seleção japonesa de futebol… https://pt.annai.tokyo/m/2209/27/?utm_source=dlvr.it&utm_medium=twitter…",,,
CRUYFF BETS,@cruyffbet,2022-09-25T16:15:46.000Z,"Dica do dia Cruyff Bets

     Não achei nada de valor no futebol hoje, porém achei essas da nfl bem interessantes, vamos em busca do green!",,1,
Sindicato Metabase Itabira,@metabaseitabira,2022-09-26T16:23:31.000Z,"CLUBE: CAMPOS REMARCADOS

Os campos de futebol do Clube Campestre tiveram suas linhas remarcadas. Os associados que desejarem bater uma bola no final de semana devem agendar pelo 3831-6364/informações.",,,1
Mundo Futebol,@ofutemundo,2022-09-26T19:30:05.000Z,Quando a Inter de Milão era temida por toda Europa,,3,53
